index,Year,Gender,Race,Director(s),Film,Nomination/Winner
325,1994,Male,White,Robert Zemeckis,Forrest Gump,Winner
326,1994,Male,White,Woody Allen,Bullets over Broadway,Nomination
327,1994,Male,White,Krzysztof Kieślowski,Three Colours: Red,Nomination
328,1994,Male,White,Robert Redford,Quiz Show,Nomination
329,1994,Male,White,Quentin Tarantino,Pulp Fiction,Nomination
330,1995,Male,White,Mel Gibson,Braveheart,Winner
331,1995,Male,White,Mike Figgis,Leaving Las Vegas,Nomination
332,1995,Male,White,Chris Noonan,Babe,Nomination
333,1995,Male,White,Michael Radford,Il Postino: The Postman,Nomination
334,1995,Male,White,Tim Robbins,Dead Man Walking,Nomination
335,1996,Male,White,Anthony Minghella,The English Patient,Winner
336,1996,Male,White,Joel Coen,Fargo,Nomination
337,1996,Male,White,Miloš Forman,The People vs. Larry Flynt,Nomination
338,1996,Male,White,Scott Hicks,Shine,Nomination
339,1996,Male,White,Mike Leigh,Secrets & Lies,Nomination
340,1997,Male,White,James Cameron,Titanic,Winner
341,1997,Male,White,Peter Cattaneo,The Full Monty,Nomination
342,1997,Male,White,Atom Egoyan,The Sweet Hereafter,Nomination
343,1997,Male,White,Curtis Hanson,L.A. Confidential,Nomination
344,1997,Male,White,Gus Van Sant,Good Will Hunting,Nomination
345,1998,Male,White,Steven Spielberg,Saving Private Ryan,Winner
346,1998,Male,White,Roberto Benigni,Life Is Beautiful,Nomination
347,1998,Male,White,John Madden,Shakespeare in Love,Nomination
348,1998,Male,White,Terrence Malick,The Thin Red Line,Nomination
349,1998,Male,White,Peter Weir,The Truman Show,Nomination
350,1999,Male,White,Sam Mendes,American Beauty,Winner
351,1999,Male,White,Lasse Hallström,The Cider House Rules,Nomination
352,1999,Male,White,Spike Jonze,Being John Malkovich,Nomination
353,1999,Male,White,Michael Mann,The Insider,Nomination
354,1999,Male,White,M. Night Shyamalan,The Sixth Sense,Nomination
355,2000,Male,White,Steven Soderbergh,Traffic,Winner
356,2000,Male,White,Stephen Daldry,Billy Elliot,Nomination
357,2000,Male,White,Ang Lee,"Crouching Tiger, Hidden Dragon",Nomination
358,2000,Male,White,Ridley Scott,Gladiator,Nomination
359,2000,Male,White,Steven Soderbergh,Erin Brockovich,Nomination
360,2001,Male,White,Ron Howard,A Beautiful Mind,Winner
361,2001,Male,White,Robert Altman,Gosford Park,Nomination
362,2001,Male,White,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,Nomination
363,2001,Male,White,David Lynch,Mulholland Drive,Nomination
364,2001,Male,White,Ridley Scott,Black Hawk Down,Nomination
365,2002,Male,White,Roman Polanski,The Pianist,Winner
366,2002,Male,White,Pedro Almodóvar,Talk to Her,Nomination
367,2002,Male,White,Stephen Daldry,The Hours,Nomination
368,2002,Male,White,Rob Marshall,Chicago,Nomination
369,2002,Male,White,Martin Scorsese,Gangs of New York,Nomination
370,2003,Male,White,Peter Jackson,The Lord of the Rings: The Return of the King,Winner
371,2003,Female,White,Sofia Coppola,Lost in Translation,Nomination
372,2003,Male,White,Clint Eastwood,Mystic River,Nomination
373,2003,Male,White,Fernando Meirelles,City of God,Nomination
374,2003,Male,White,Peter Weir,Master and Commander: The Far Side of the World,Nomination
375,2004,Male,White,Clint Eastwood,Million Dollar Baby,Winner
376,2004,Male,White,Taylor Hackford,Ray,Nomination
377,2004,Male,White,Mike Leigh,Vera Drake,Nomination
378,2004,Male,White,Alexander Payne,Sideways,Nomination
379,2004,Male,White,Martin Scorsese,The Aviator,Nomination
380,2005,Male,White,Ang Lee,Brokeback Mountain,Winner
381,2005,Male,White,George Clooney,"Good Night, and Good Luck",Nomination
382,2005,Male,White,Paul Haggis,Crash,Nomination
383,2005,Male,White,Bennett Miller,Capote,Nomination
384,2005,Male,White,Steven Spielberg,Munich,Nomination
385,2006,Male,White,Martin Scorsese,The Departed,Winner
386,2006,Male,White,Clint Eastwood,Letters from Iwo Jima,Nomination
387,2006,Male,White,Stephen Frears,The Queen,Nomination
388,2006,Male,White,Paul Greengrass,United 93,Nomination
389,2006,Male,White,Alejandro G. Iñárritu,Babel,Nomination
390,2007,Male,White,Joel Coen and Ethan Coen,No Country for Old Men,Winner
391,2007,Male,White,Paul Thomas Anderson,There Will Be Blood,Nomination
392,2007,Male,White,Tony Gilroy,Michael Clayton,Nomination
393,2007,Male,White,Jason Reitman,Juno,Nomination
394,2007,Male,White,Julian Schnabel,The Diving Bell and the Butterfly,Nomination
395,2008,Male,White,Danny Boyle,Slumdog Millionaire,Winner
396,2008,Male,White,Stephen Daldry,The Reader,Nomination
397,2008,Male,White,David Fincher,The Curious Case of Benjamin Button,Nomination
398,2008,Male,White,Ron Howard,Frost/Nixon,Nomination
399,2008,Male,White,Gus Van Sant,Milk,Nomination
400,2009,Female,White,Kathryn Bigelow,The Hurt Locker,Winner
401,2009,Male,White,James Cameron,Avatar,Nomination
402,2009,Male,Black,Lee Daniels,Precious,Nomination
403,2009,Male,White,Jason Reitman,Up in the Air,Nomination
404,2009,Male,White,Quentin Tarantino,Inglourious Basterds,Nomination
405,2010,Male,White,Tom Hooper,The King's Speech,Winner
406,2010,Male,White,Darren Aronofsky,Black Swan,Nomination
407,2010,Male,White,Joel Coen and Ethan Coen,True Grit,Nomination
408,2010,Male,White,David Fincher,The Social Network,Nomination
409,2010,Male,White,David O. Russell,The Fighter,Nomination
410,2011,Male,White,Michel Hazanavicius,The Artist,Winner
411,2011,Male,White,Woody Allen,Midnight in Paris,Nomination
412,2011,Male,White,Terrence Malick,The Tree of Life,Nomination
413,2011,Male,White,Alexander Payne,The Descendants,Nomination
414,2011,Male,White,Martin Scorsese,Hugo,Nomination
415,2012,Male,White,Ang Lee,Life of Pi,Winner
416,2012,Male,White,Michael Haneke,Amour,Nomination
417,2012,Male,White,David O. Russell,Silver Linings Playbook,Nomination
418,2012,Male,White,Steven Spielberg,Lincoln,Nomination
419,2012,Male,White,Benh Zeitlin,Beasts of the Southern Wild,Nomination
420,2013,Male,White,Alfonso Cuarón,Gravity,Winner
421,2013,Male,Black,Steve McQueen,12 Years a Slave,Nomination
422,2013,Male,White,Alexander Payne,Nebraska,Nomination
423,2013,Male,White,David O. Russell,American Hustle,Nomination
424,2013,Male,White,Martin Scorsese,The Wolf of Wall Street,Nomination
425,2014,Male,White,Alejandro G. Iñárritu,Birdman,Winner
426,2014,Male,White,Wes Anderson,The Grand Budapest Hotel,Nomination
427,2014,Male,White,Richard Linklater,Boyhood,Nomination
428,2014,Male,White,Bennett Miller,Foxcatcher,Nomination
429,2014,Male,White,Morten Tyldum,The Imitation Game,Nomination
430,2015,Male,White,Alejandro G. Iñárritu,The Revenant,Winner
431,2015,Male,White,Lenny Abrahamson,Room,Nomination
432,2015,Male,White,Tom McCarthy,Spotlight,Nomination
433,2015,Male,White,Adam McKay,The Big Short,Nomination
434,2015,Male,White,George Miller,Mad Max: Fury Road,Nomination
435,2016,Male,White,Damien Chazelle,La La Land,Winner
436,2016,Male,White,Mel Gibson,Hacksaw Ridge,Nomination
437,2016,Male,Black,Barry Jenkins,Moonlight,Nomination
438,2016,Male,White,Kenneth Lonergan,Manchester by the Sea,Nomination
439,2016,Male,White,Denis Villeneuve,Arrival,Nomination
440,2017,Male,White,Guillermo del Toro,The Shape of Water,Winner
